query;response
Could we connect to 'Bose QuietComfort 35 II'? Please try with a longer timeout of 45 seconds.;connect_to_bluetooth_device('Bose QuietComfort 35 II', 45)
Try connecting to 'SmartHomeHub' with a 12-second timeout to see if a slightly longer duration improves the success rate.;connect_to_bluetooth_device('SmartHomeHub', 12)
Could you guide on connecting to 'Google Nest Audio' with a timeout of 10 seconds, to test if it connects within the default time limit?;connect_to_bluetooth_device('Google Nest Audio', 10)
Let's see if 'HeadphonesXYZ' can be swiftly connected within just 4 seconds.;connect_to_bluetooth_device('HeadphonesXYZ', 4)
Is it possible to establish a connection with 'Beats Studio 3' within just 5 seconds?;connect_to_bluetooth_device('Beats Studio 3', 5)
Looking to connect to my car's Bluetooth system 'Tesla Model S' with timeout of 10s. Is it feasible?;connect_to_bluetooth_device('Tesla Model S', 10)
Can you connect to 'JBL Flip 4' speaker within a 20-second timeout period?;connect_to_bluetooth_device('JBL Flip 4', 20)
Can you try connecting to my Bose SoundLink speaker? I believe it's named 'Bose-SL'. Please give it up to 20 seconds.;connect_to_bluetooth_device('Bose-SL', 20)
Try connecting to 'UE Boom 3' with the shortest possible timeout. How about 3 seconds?;connect_to_bluetooth_device('UE Boom 3', 3)
Could you switch on Do Not Disturb mode during my bedtime hours from 10 PM to 7 AM?;enable_do_not_disturb(True)
How do I disable the Do Not Disturb feature on my device?;enable_do_not_disturb(False)
Is it possible to enable Do Not Disturb mode automatically at 10 PM every day?;enable_do_not_disturb(True)
I need to concentrate on my studies. Turn on Do Not Disturb mode for the next three hours.;enable_do_not_disturb(True)
I'm heading into a meeting. Activate Do Not Disturb mode, please.;enable_do_not_disturb(True)
How do I switch back from Do Not Disturb mode to receive all notifications?;enable_do_not_disturb(False)
Please show me how to switch off Do Not Disturb mode using a function call.;enable_do_not_disturb(False)
I'm starting my study session, can you enable Do Not Disturb to avoid distractions?;enable_do_not_disturb(True)
"I'm entering a meeting; could you enable Do Not Disturb?";enable_do_not_disturb(True)
Before my nap, can you ensure Do Not Disturb is on?;enable_do_not_disturb(True)
For my plants, keep the temperature at a steady 69 degrees.;set_nest_temperature(69)
Can you set the Nest Thermostat to a cozy 72 degrees for the evening?;set_nest_temperature(72)
Before we arrive home, adjust the Nest Thermostat to 71 degrees so it's nice and warm.;set_nest_temperature(71)
Help me save on my energy bill by setting the Nest temperature to 78 degrees.;set_nest_temperature(78)
For a perfect winter morning, could the Nest be set to 70 degrees Fahrenheit?;set_nest_temperature(70)
I'm feeling a bit chilly, could you adjust my thermostat to 75 degrees?;set_nest_temperature(75)
To avoid freezing pipes while I'm away, set the thermostat to 50 degrees Fahrenheit, please.;set_nest_temperature(50)
For a cozy evening, could you increase the Nest thermostat temperature to 75 degrees Fahrenheit?;set_nest_temperature(75)
"My plants are sensitive to cold; can the living area be maintained at 77 degrees?";set_nest_temperature(77)
Adjust the Nest to 70 degrees, please. I want to keep the house comfortable for the guests arriving.;set_nest_temperature(70)
How do I get '80s Smash Hits' to play on my Google Nest Hub from Amazon Music?;"play_music_on_nest_hub('Amazon Music', ""'80s Smash Hits"")"
Could you stream '80s Smash Hits' from Apple Music on my Nest Hub, please?;play_music_on_nest_hub('Apple Music', '80s Smash Hits')
Is it possible to stream live jazz music from Tidal on my Google Nest Hub?;play_music_on_nest_hub('Tidal', 'live jazz')
Play 'Rock Classics' on Deezer through my Nest Audio. Set music service to 'Deezer' and music name to 'Rock Classics'.;play_music_on_nest_hub('Deezer', 'Rock Classics')
Can you start streaming 'Country Gold' playlist from Google Play Music on my Nest Hub?;play_music_on_nest_hub('Google Play Music', 'Country Gold')
I'd love to hear Taylor Swift's 'Folklore' album on Apple Music through my Nest Audio device.;play_music_on_nest_hub('Apple Music', 'Folklore')
I want to listen to 'Jazz Classics' from Tidal on my Google Nest. How can I do that?;play_music_on_nest_hub('Tidal', 'Jazz Classics')
I'd like 'Classical Music for Reading' to play on Napster via my Google Nest Audio. Is that possible?;play_music_on_nest_hub('Napster', 'Classical Music for Reading')
Can you play the 'Top Hits 2023' playlist from Spotify on my Nest Hub?;play_music_on_nest_hub('Spotify', 'Top Hits 2023')
I would love to hear '90s Hip Hop' music from Tidal on my Nest Hub.;play_music_on_nest_hub('Tidal', '90s Hip Hop')
Is it possible to play the 'Top 50 Global' playlist from Spotify video on my Google Nest Hub?;play_video_on_nest_hub('Spotify', 'Top 50 Global')
I'd like to watch 'MasterChef' episodes from Hulu on my Google Home device, please.;play_video_on_nest_hub('Hulu', 'MasterChef')
What's the procedure to watch 'Planet Earth II' series from Netflix on my Nest Hub?;play_video_on_nest_hub('Netflix', 'Planet Earth II')
I'd like to watch 'MasterChef' series from Amazon Prime Video on my Nest Hub.;play_video_on_nest_hub('Amazon Prime Video', 'MasterChef')
How to stream 'Latest Tech Gadgets' videos from YouTube on my Nest Hub?;play_video_on_nest_hub('YouTube', 'Latest Tech Gadgets')
I'd like to watch 'MasterChef' episodes from Hulu on my Google Home device, please.;play_video_on_nest_hub('Hulu', 'MasterChef')
How do I watch 'The Crown' series from Netflix on my Nest Hub?;play_video_on_nest_hub('Netflix', 'The Crown')
Can I watch 'Breaking Bad' from Netflix on my Nest Hub? What are the steps?;play_video_on_nest_hub('Netflix', 'Breaking Bad')
Please, play workout videos from 'FitnessBlender' on YouTube on my Nest Hub.;play_video_on_nest_hub('YouTube', 'FitnessBlender workout videos')
Play the 'Workout Mix' video playlist from Apple Music on my Google Nest Hub.;play_video_on_nest_hub('Apple Music', 'Workout Mix')
Can you open the front door? I've got my hands full.;open_or_lock_door('open')
Could you lock all doors? I'm leaving for vacation and want to ensure everything is secured.;open_or_lock_door('lock')
Can you check if the backdoor is locked and lock it if it's not?;open_or_lock_door('lock')
Please lock all doors at 10 pm every night for security.;open_or_lock_door('lock')
After leaving for vacation, I can't remember if I locked the door. Could you secure it now?;open_or_lock_door('lock')
I think I forgot to lock the back door, can you check and lock it if it's open?;open_or_lock_door('lock')
"Please lock the back door; I think I forgot to do it myself.";open_or_lock_door('lock')
For the party tonight, please set the back door to unlock automatically when guests arrive.;open_or_lock_door('open')
Please lock all doors at 10 pm every night for security.;open_or_lock_door('lock')
We are going on vacation and want to make sure the house is secure. Could you double-check if all doors are locked?;open_or_lock_door('lock')
Receive trending news about artificial intelligence in Korean;get_trending_news('artificial intelligence', 'ko')
Fetches latest trending news in the technology sector, specifically in Spanish;get_trending_news('technology', 'es')
Need the latest trending articles on 'education' in Arabic.;get_trending_news('education', 'ar')
Find trending news related to artificial intelligence in Russian;get_trending_news('artificial intelligence', 'ru')
Discover trending news about the global economy in Mandarin;get_trending_news('global economy', 'zh')
Retrieves recent trending articles related to COVID-19 vaccines available in French;get_trending_news('COVID-19 vaccines', 'fr')
I'd like to read about 'global economy' in the Russian language;get_trending_news('global economy', 'ru')
Look up the latest sports news in the world of football in German;get_trending_news('football', 'de')
Look for trending news on cryptocurrency market movements, with information provided in Japanese;get_trending_news('cryptocurrency', 'ja')
Request trending news articles about climate change in English;get_trending_news('climate change', 'en')
I'm looking for the upcoming weather in Cairo, Egypt, can you help?;get_weather_forecast('Cairo, Egypt')
What is the expected weather in Tokyo, Japan, for the next three days?;get_weather_forecast('Tokyo, Japan')
What's the weather forecast for the next 6 days in Mumbai?;get_weather_forecast('Mumbai')
Can you provide the weather situation in Dubai for the upcoming week, especially any heatwave alerts?;get_weather_forecast('Dubai')
What's the weather like in New York City for the next three days?;get_weather_forecast('New York City')
Show me the weather forecast in Tokyo for the next three days, please.;get_weather_forecast('Tokyo')
I'm looking for the 7-day weather outlook for 90210 ZIP code.;get_weather_forecast('90210')
I need to know the weather forecast for San Francisco for the next two days, particularly any fog warnings.;get_weather_forecast('San Francisco')
Can I get a 7-day weather forecast for Toronto? Need it for a planned vacation.;get_weather_forecast('Toronto')
Is it going to be sunny in Rio de Janeiro during the Carnival next year?;get_weather_forecast('Rio de Janeiro')
I need to send an urgent email to hr@ourcompany.com with the title 'Immediate Resignation Notice' expressing my regret and providing two weeks' notice, including today's date as well.;"send_email('hr@ourcompany.com', 'Immediate Resignation Notice', ""I regret to inform you that I am resigning from my position, effective two weeks from today, (today's date)."")"
Can you send an email to jane.doe@example.com with the title 'Meeting Update' and content discussing the new meeting schedule for next week?;send_email('jane.doe@example.com', 'Meeting Update', 'discussing the new meeting schedule for next week')
Can you send an email to john.doe@example.com with the title 'Project Update' and content regarding the latest progress and next steps for our project?;send_email('john.doe@example.com', 'Project Update', 'Regarding the latest progress and next steps for our project.')
Can you send an email to john.doe@example.com with the title 'Meeting Update' and content regarding the rescheduling of the Wednesday meeting to Friday at 10 am?;send_email('john.doe@example.com', 'Meeting Update', 'Regarding the rescheduling of the Wednesday meeting to Friday at 10 am.')
Dispatch a thank you email to speaker@example.com with the title 'Appreciation Note' for their inspiring talk at our recent event, mentioning key takeaways.;send_email('speaker@example.com', 'Appreciation Note', 'Thank you for your inspiring talk at our recent event. I wanted to express my gratitude and mention some key takeaways that really impacted our audience.')
Can you send an email to john.doe@example.com with the title 'Meeting Update' and content regarding the rescheduling of the Wednesday meeting to Friday at 10 am?;send_email('john.doe@example.com', 'Meeting Update', 'Regarding the rescheduling of the Wednesday meeting to Friday at 10 am.')
"Send a weekly newsletter to a subscriber with email 'subscriber@example.com' and title 'Your Weekly Newsletter' and content ""Here's what's new this week!""";"send_email('subscriber@example.com', 'Your Weekly Newsletter', ""Here's what's new this week!"")"
Can I send a reminder email to team@example.com with the title 'Project Deadline Reminder' and include the final deadline details in the content?;send_email('team@example.com', 'Project Deadline Reminder', 'include the final deadline details in the content')
Notify a customer about their order shipment with recipient 'customer123@example.com' and title 'Your Order Has Been Shipped!' and content 'Hello! Your order #456789 has been dispatched and will reach you within 3-5 working days.';send_email('customer123@example.com', 'Your Order Has Been Shipped!', 'Hello! Your order #456789 has been dispatched and will reach you within 3-5 working days.')
Send seasonal greetings to clients and partners with recipient 'valuedclient@example.com' and title 'Happy Holidays from All of Us!' and content 'Wishing you a joyous holiday season and a prosperous New Year. Thanks for your continued support.';send_email('valuedclient@example.com', 'Happy Holidays from All of Us!', 'Wishing you a joyous holiday season and a prosperous New Year. Thanks for your continued support.')
I'm looking for YouTube tutorials on Python programming for beginners.;search_youtube_videos('Python programming for beginners')
Can you find any YouTube documentaries on ancient civilizations?;search_youtube_videos('ancient civilizations documentaries')
Search for comedy sketches for a good laugh.;search_youtube_videos('comedy sketches for a good laugh')
Can you find me the top 5 educational channels for learning Python?;search_youtube_videos('top 5 educational channels for learning Python')
Search for comedy sketches for a good laugh.;search_youtube_videos('comedy sketches for a good laugh')
Highlights from the 2023 World Cup final;search_youtube_videos('Highlights from the 2023 World Cup final')
Can you find the most watched stand-up comedy videos this year?;search_youtube_videos('most watched stand-up comedy videos this year')
Find me documentaries on climate change released this year.;search_youtube_videos('documentaries on climate change released this year')
Looking for live performances by BTS from their latest tour.;search_youtube_videos('live performances by BTS from their latest tour')
Find 'live coding streams' happening now on YouTube.;search_youtube_videos('live coding streams happening now')
How to get from La Sagrada Familia to Park Guell by bike?;find_route_google_maps('La Sagrada Familia', 'Park Guell', 'bicycling')
Transit directions from Tokyo Station to Shibuya Crossing.;find_route_google_maps('Tokyo Station', 'Shibuya Crossing', 'transit')
Find a driving route from Golden Gate Bridge to Stanford University.;find_route_google_maps('Golden Gate Bridge', 'Stanford University', 'driving')
How do I walk from the Louvre Museum to the Eiffel Tower?;find_route_google_maps('Louvre Museum', 'Eiffel Tower', 'walking')
What's the best bicycling path from Stanford University to Googleplex?;find_route_google_maps('Stanford University', 'Googleplex', 'bicycling')
What are the walking routes available from Buckingham Palace to the British Museum?;find_route_google_maps('Buckingham Palace', 'The British Museum', 'walking')
Show the walking route from the Louvre to the Eiffel Tower.;find_route_google_maps('Louvre', 'Eiffel Tower', 'walking')
What is the quickest public transit route from Shibuya to Tokyo Tower?;find_route_google_maps('Shibuya', 'Tokyo Tower', 'transit')
Find a walking route from Sydney Opera House to the Sydney Harbour Bridge with the least amount of stairs.;find_route_google_maps('Sydney Opera House', 'Sydney Harbour Bridge', 'walking')
Could you find a walking route that takes me from Buckingham Palace to the British Museum?;find_route_google_maps('Buckingham Palace', 'British Museum', 'walking')
How do I check if the battery of my smoke detector needs replacing?;check_nest_smoke_detector_status()
After replacing my WiFi router, I need to confirm if my Nest Smoke Detector is still connected. Can you verify?;check_nest_smoke_detector_status()
What is the current battery status of my Nest Smoke Detector in the guest room?;check_nest_smoke_detector_status()
check my Nest Smoke Detector is functioning optimally;check_nest_smoke_detector_status()
Is my Nest Smoke Detector on the main floor operating correctly, including its connectivity and sensor status?;check_nest_smoke_detector_status()
I'd like to know if all the sensors in my smoke detector are functioning correctly.;check_nest_smoke_detector_status()
Can I obtain the overall health status of my Nest Smoke Detector without technical expertise?;check_nest_smoke_detector_status()
Check function regarding smoke detector maintenance?;check_nest_smoke_detector_status()
I need guidance on assessing the connectivity status of my Nest Smoke Detector. How do I go about it?;check_nest_smoke_detector_status()
Is my Nest Smoke Detector connected properly to my network? I'm looking for a connectivity status report.;check_nest_smoke_detector_status()
How to send a 'Thinking of you!' text to my contact named Alex Reed?;send_text_message('Alex Reed', 'Thinking of you!')
Please send 'Do we need anything from the grocery store?' message to Noah Brown.;send_text_message('Noah Brown', 'Do we need anything from the grocery store?')
Please dispatch a text to 'Julia' with 'Miss you! Let's catch up over coffee this weekend?';"send_text_message('Julia', ""Miss you! Let's catch up over coffee this weekend?"")"
Please send a text to 'John Smith' saying 'Meeting is rescheduled to 3 PM, let everyone know.';send_text_message('John Smith', 'Meeting is rescheduled to 3 PM, let everyone know.')
How do I send a 'Congratulations on your newborn!' message to Lisa?;send_text_message('Lisa', 'Congratulations on your newborn!')
Send a text to 'Emergency Contact' with 'Had a minor car accident. I'm okay, but will be late.';"send_text_message('Emergency Contact', ""Had a minor car accident. I'm okay, but will be late."")"
Inform Alice about the project delay by sending her 'Project deadline pushed to next Monday. Let's catch up tomorrow to discuss details.';"send_text_message('Alice', ""Project deadline pushed to next Monday. Let's catch up tomorrow to discuss details."")"
Send a 'Good luck on your presentation today! You'll do great!' message to Kevin.;"send_text_message('Kevin', ""Good luck on your presentation today! You'll do great!"")"
Can you send a text to the contact named Sam? It should read 'The game starts at 8 PM. Are we still meeting at yours?';send_text_message('Sam', 'The game starts at 8 PM. Are we still meeting at yours?')
Send a message to Dr. Smith, 'I wanted to confirm my appointment for this Friday at 10 AM. Is that still okay?';send_text_message('Dr. Smith', 'I wanted to confirm my appointment for this Friday at 10 AM. Is that still okay?')
I'm trying to reach a client overseas. The number is +913322667890. Can we initiate a call to this number?;make_phone_call('+913322667890')
Is it possible to start a phone call to my colleague's international number, which is +919876543210?;make_phone_call('+919876543210')
Make a phone call to '+12345678900,555' where '555' is the extension;make_phone_call('+12345678900,555')
"I lost my phone; can you call my number (+11234567890) so I can find it by the ring?";make_phone_call('+11234567890')
Make a phone call to a UK phone number +447700900000;make_phone_call('+447700900000')
Is it possible to make a phone call to my aunt who lives abroad? Her phone number is +33550123456.;make_phone_call('+33550123456')
Could you help me connect to a local restaurant? Their number is 4041234567.;make_phone_call('+14041234567')
There's a delivery at the door. Call the number on the invoice, please. It's +44800526123.;make_phone_call('+44800526123')
{'description': 'Make a phone call to a friend in the US.', 'arguments': {'phone_number': '+11234567890'}};make_phone_call('+11234567890')
Could you demonstrate making a call to a standard US number like +13015550101 for customer service support?;make_phone_call('+13015550101')
Could you create a contact for my new colleague? Her name is Sarah Brown and her number is +12309876543.;create_contact('Sarah Brown', '+12309876543')
Let's save the number of the new Italian restaurant I found. Name: Bella Italia, Phone: +15556667777.;create_contact('Bella Italia', '+15556667777')
Add my new colleague, Lisa Ray, to my phone book. Her contact number is +17778078965.;create_contact('Lisa Ray', '+17778078965')
Let's save the number of the new Italian restaurant I found. Name: Bella Italia, Phone: +15556667777.;create_contact('Bella Italia', '+15556667777')
Could you create a contact for my dentist, Dr. Aaron Shaw? His phone number is +16665432109.;create_contact('Dr. Aaron Shaw', '+16665432109')
What's the correct way to create a contact entry for my dentist, Dr. Emily Stone, with her number as +15005550006?;create_contact('Dr. Emily Stone', '+15005550006')
Could you create a contact for my boss, Mr. David Anderson? His contact number is +12347654321.;create_contact('Mr. David Anderson', '+12347654321')
Please create a contact entry for Emily Clark, phone number being +12345678901.;create_contact('Emily Clark', '+12345678901')
Can you add John Doe with the phone number +11234567890 to my address book?;create_contact('John Doe', '+11234567890')
Store the contact info of my personal trainer, Alex Strong, with their number being +10987654321.;create_contact('Alex Strong', '+10987654321')
